"Befolkningens h�jest fuldf�rte uddannelse (15-69 �r) efter k�n, alder,"
"herkomst, tid, bop�lsomr�de og h�jest fuldf�rte uddannelse"

" "," "," "," "," ","H10 Grundskole","H1001 Ingen uddannelse","H20 Gymnasiale uddannelser","H30 Erhvervsfaglige uddannelser","H60 Bacheloruddannelser, BACH","H70 Lange videreg�ende uddannelser, LVU"
"I alt"
" ","Alder i alt"
" "," ","I alt"
" "," "," ","2020"
" "," "," "," ","Syddjurs",7163,57,2143,10047,394,2042
" "," "," "," ","Aarhus",45341,790,50333,46162,13760,41852
" "," "," "," ","Herning",16818,224,5834,20844,726,2844
" "," "," "," ","Holstebro",10698,178,3650,13538,316,1905
" "," "," "," ","Ikast-Brande",8597,88,2007,10309,226,1261
" "," "," "," ","Lemvig",3925,50,941,5101,76,452
" "," "," "," ","Ringk�bing-Skjern",11191,140,2632,14607,229,1429
" "," "," "," ","Skive",9188,126,2361,11519,155,1071
" "," "," "," ","Struer",4556,71,922,4881,93,533
" "," "," "," ","Viborg",17652,217,5364,22552,507,4198
" "," "," "," ","Region Nordjylland",107409,1236,40242,135614,8077,28864
" "," "," "," ","Br�nderslev",6836,85,1537,9164,179,1164
" "," "," "," ","Frederikshavn",11558,173,2463,15941,245,1254
" "," "," "," ","Hj�rring",12765,139,3224,16103,276,1661
" "," "," "," ","Jammerbugt",7822,96,1558,9718,211,1121
" "," "," "," ","L�s�",340,3,58,437,8,30
" "," "," "," ","Mariagerfjord",8363,86,1940,10571,231,1278
" "," "," "," ","Mors�",4563,47,845,5156,71,362
" "," "," "," ","Rebild",5078,57,1147,7165,232,1921
" "," "," "," ","Thisted",9076,95,1961,11156,166,1172
" "," "," "," ","Vesthimmerlands",7911,117,1394,9472,101,829
" "," "," "," ","Aalborg",33097,338,24115,40731,6357,18072
